producto,marca,precio_eur,precio_inr,cpu,ram_gb,almacenamiento_gb,gpu,tamanio_pantalla,sistema_operativo,warranty,spec_rating
LOQ 15APH8 82XT004JIN 2023 Gaming Laptop,Lenovo,1175.88,97990,TH GEN AMD RYZEN 7 7840HS,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,73.0
Vector GP68HX 13VH-072IN Gaming Laptop,MSI,3419.88,284990,TH GEN INTEL CORE I9 13980HX,32,1024,NVIDIA GEFORCE RTX 4080,16.0,Windows 11 OS,2,89.0
Vector GP78HX 13VI-409IN Gaming Laptop,MSI,4139.88,344990,TH GEN INTEL CORE I9 13980HX,32,2048,NVIDIA GEFORCE RTX 4090,17.0,Windows 11 OS,2,69.32352941176471
Omen 16-wf0111TX Gaming Laptop,HP,1759.19,146599,TH GEN INTEL CORE I7 13700HX,16,1024,NVIDIA GEFORCE RTX 4060,16.1,Windows 11 OS,1,77.0
Aspire 5 A515-56G NX.AT2SI.001 Laptop,Acer,539.88,44990,TH GEN INTEL CORE I5 1135G7,8,512,NVIDIA GEFORCE MX450,15.6,Windows 11 OS,1,65.0
IdeaPad Slim 5 Light 14ABR8 82XS002RIN Laptop,Lenovo,695.88,57990,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON GRAPHICS,14.0,Windows 11 OS,1,67.0
Omen 16-xf0059AX Gaming Laptop,HP,1543.19,128599,TH GEN AMD RYZEN 7 7840HS,16,512,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,73.0
Vivobook Go 15 E510MA-EJ001W Laptop,Asus,263.88,21990,INTEL CELERON N4020,4,256,INTEGRATED INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
Omen 16-wf0055TX Gaming Laptop,HP,1823.88,151990,TH GEN INTEL CORE I7 13700HX,16,512,NVIDIA GEFORCE RTX 4060,16.1,Windows 11 OS,1,77.0
INBook X2 Plus Laptop,Infinix,635.88,52990,TH GEN INTEL CORE I7 1195G7,16,1024,INTEL INTEGRATED IRIS XE,15.6,Windows 11 OS,1,62.0
ThinkBook 14s Yoga 20WEA00WIH Laptop,Lenovo,1438.66,119888,TH GEN INTEL CORE I5 1155G7,16,1024,INTEL INTEGRATED,14.0,Windows 10 OS,1,75.0
255 G8 Laptop,HP,275.88,22990,RD GEN AMD ATHLON 3050U,4,256,AMD INTEGRATED,15.6,Windows 11 OS,1,69.32352941176471
Yoga 6 83B2006BIN Laptop,Lenovo,922.66,76888,TH GEN AMD RYZEN 5 7530U,16,512,AMD RADEON GRAPHICS,13.3,Windows 11 OS,1,67.0
XPS 15 9530 Laptop,Dell,3083.88,256990,TH GEN INTEL CORE I7 13700H,16,1024,NVIDIA RTX 4050,15.6,Windows 11 OS,1,85.0
Inspiron 5330 Laptop,Dell,997.08,83090,TH GEN INTEL CORE I5 1340P,16,512,INTEL IRIS XE GRAPHICS,13.3,Windows 11 OS,1,60.0
Inspiron 5518 D560667WIN9S Laptop,Dell,815.99,67999,TH GEN INTEL CORE I5 11320H,16,512,NVIDIA GEFORCE MX450,15.6,Windows 11 OS,1,65.0
Nitro 5 AN515-58 NH.QFHSI.007 Gaming Laptop,Acer,1155.07,96256,TH GEN INTEL CORE I7 12700H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,72.0
Prestige 14 Evo B12M-472IN Laptop,MSI,935.88,77990,TH GEN INTEL CORE I5 1240P,16,512,INTEL INTEGRATED IRIS XE,14.0,Windows 11 OS,1,63.0
Alienware X16 R1 2023 Gaming Laptop,Dell,3879.48,323290,TH GEN INTEL CORE I9 13900HX,32,1024,NVIDIA GEFORCE RTX 4080,16.0,Windows 11 OS,1,85.0
Inspiron 5425 Laptop,Dell,815.88,67990,TH GEN AMD RYZEN 7 5825U,16,512,AMD RADEON RADEON,14.0,Windows 11 OS,1,65.0
Prestige 13 Evo B12M-085IN Laptop,MSI,995.88,82990,TH GEN INTEL CORE I5 1240P,8,512,INTEL INTEGRATED IRIS XE,13.3,Windows 11 OS,2,65.0
